id,role,feature,benefit,
2114,home owner,A robot that I can program that will chase out animals when they are in my yard,I can keep my yard clean and free of animal waste. ,
3097,girl,outlet control,I can turn off power to an outlet if I leave my hair straightener plugged in after I leave.,
2427,husband,an indicator of my wife's general mood.,I know how to act when she is around.,
1410,home occupant,a self sustaining greenhouse,my plants will always be taken care of and watered properly,
1286,power saver,Generators that run automatically.,When the power drops they come on ASAP.,
3243,home occupant,a tub that can sense how much water is in it and shuts off at a certain level,my children don't accidentally over fill the tub and cause a flood.,
320,home occupant,"my smart home to recognize a durress phrase,","when I say it, the police will automatically alerted to the presence of an emergency/intruder etc. and respond. (kinda like a silent alarm in the bank0",
3244,home occupant,my house to sense me driving into the drive and automatically open the garage door,I can save time by just driving in ,
2033,home occupant,my smart home to include a closet that automatically pulls together my clothing outfit for each day on my voice command,I don't have to think about it,
941,home occupant,floor heating controller,Maintain the floor temperature and good for human life,
333,home occupant,a floor heating controller,I can have comfortable floors during winter time.,
3047,home owner,oven to shut off if the house is not occupied,fires don't happen,
2583,parent,a pool alarm,I am notified if a child should wander onto the grounds where the swimming pool is located,
2058,parent,a television that automatically turns off after an hour,my child will stop watching television and do something else,
354,home owner,Sensors that can notify my smartphone if there are movments in the house,I know if someone breaks in.,
2512,gardener,moisture detecting sensors in the ground,the sprinklers can automatically water as necessary,
2042,renter,to know when there are dogs loose in the apartment complex,I can keep my pets safe,
3245,home occupant,the lights to slowly turn off if it senses no occupants in the room,I can save electricity,
3660,parent,To be alerted if the basement door is left open,I can eliminate the risk of my kids falling down the stairs ,
3359,home owner,an automatic vacuum attached to my smart phone,I can set it to clean the house whenever I want,
574,resourceful person,a central air conditioning unit that automatically orders new air filters for itself when air quality diminishes,I can maximize energy efficiency and air health,
2162,home occupant,my a/c and heater (or other appliances) to let me know when they need service or maintenance,I will not have repair issues (or less),
3228,home owner,a sensor on the back door that can see when my dog needs to go outside,"my dog can let herself out whenever she'd like to get some fresh air, but the door can stay locked otherwise.",
1822,home owner,my home to have a dishwasher built in that is ran by voice ,I can just tell it to run from in the living room ,
2856,mother,a device to send me a text message when my child's phone crosses the threshold of our front door,I can know my child made it home safely,
2950,home occupant,Toilet overflow sensor,"stop the water from flowing to the toilet if it's clogged, before black water spills on the floor. ",
829,home owner,a digital way to view my wardrobe and select pieces to make an outfit and have them brought to me,i can pick an outfit more efficently without trying things on endlessly,
3062,home occupant,motion sensors throughout the house,"rooms which are empty turn off their lights and appliances, saving energy.",
1164,home owner,"my smart home to water my indoor plants when they become dry, ","my plants do not die, and I save a little bit of time. ",
3024,allergy sufferer,air quality monitor,I can be warned of pollutants in the air.,
1898,home owner,Key fob that remotely locks or unlocks my front door.,"I never have to run back to jiggle the handle to make sure I locked up, and to make it easier to get in when my arms are full.",
3479,home owner,my safety battery-operated appliances to alert me when they battery is getting low,I know when it would be easier to switch.,
995,as a house keeper,I want to check whether i have closed all the taps,prevent water loss,
2832,home occupant,beer coming out of my sink,I can drink,
694,home owner,to be alerted if the water from the faucet contains too many minerals or impurities,I can get it fixed or begin to filter my water from the tap,
3287,home owner,my smart home to be linked to a live camera feed that I can view from any phone or computer,I can monitor my home while I am away.,
463,home occupant,smart windows that can be set open themselves at night when it's cool outside and close before the air heats up in the day,I don't have to do this and still save on energy costs.,
3299,home occupant,"The lights to come on with my alarm clock in the morning in my bedroom, and bathroom",I can easily see where I'm going to start my day,
2757,home occupant,sensors activated at night by the doors and windows,if an intruder breaks in when everyone is sleeping or gone an alarm will sound the police will be called to the house,
3515,home occupant,blinds that open and close automatically,I can save energy by having blinds open in daytime and close at night.,
619,home owner,to be alerted if the water from the faucet contains too many minerals or impurities,I can begin filtering my water or have it checked.,
1674,home owner,home that will notify me if the stove or oven is on with no one in the home,there will be no fire hazard,
849,home occupant,an alert when my dog is standing by back door,I know that I need to let them out.,
1592,gardener,Smart watering ,If I am outside water plant on some specific time,
1048,woman,a shower head that washes my hair for me,I can bathe while it washes my hair for me,
388,homeowner of a three story row home,my smart home to have a temperature control system that knows to deliver more cold air in summer to top floors where bedrooms are,our sleep is more sound during summer months,
3375,home occupant,my window blinds to open up during daytime and close during evening and night time.,I get sufficient sunlight to save light.,
406,coffee/tea drinker/pc user,my computer heat to be used to keep my drink hot,i can enjoy it longer,
2493,home owner,a voice controlled door and window lock,I don't miss any,
2825,home owner,lights to automatically turn off when no motion is detected in a room,I know I am saving as much as possible on my home energy costs.,
457,home owner,my home to notify me before my smoke detector batteries starting beeping due to low power ,I don't have to be woken up in the middle of the night when the smoke detector battery reaches low power,
3246,disabled patient,"Need every plug socket and doors, windows to be automated with motorized and controlled by mobile phone",No need to depend on others for opening,
1257,home occupant,a smart maid that cleans up after messes that are made,I don't have to do my own cleaning and messes that I'm not even aware of are taken care of.,
1679,home occupant,my Smart Home to have an excellent taste of music,may dance & be happy at home.,
1023,home owner,the windows to remain dust free,we remain healthy,
2681,parent of a young child (6),a feature that will set out his clothes for him on a daily basis - basically a system that will put from his closet,he can get dressed without issue in the morning and not have us help him when we could be doing other things,
2597,dog owner,"the door to unlock open automatically when my dog needs to use the bathroom, then let him back in, and then shut and lock the door behind him",I don't have to go home on my lunch break to let the dog out,
454,father,my house to notify me if and when my children leave and enter the house ,I have confidence that I always know their whereabouts,
1924,home occupant,Hot water heater automatical heat water to temperature I like for showering,"Water for showering feels just right, no need for adjustment",
359,home owner,lights that turn on and off automatically,Ligts are never left on wasting electricty,
2893,home owner,the lights in a room to power on and off the moment someone enters or leaves a room.,I can save money on my power bill.,
171,responsible pet owner,to be notified when my dog enters and exits my home ,I can be aware of my dog's whereabouts at all times and therefore be a more responsible pet owner.,
349,future parent,a room monitor,"if I have a child, I can tell if anything is wrong with the baby at night.",
3368,person,to be notified when shows that I like are starting,i can watch what interestes me,
3146,neighbor,sensors on my bedroom windows that close when someone is standing outside of them,I can have privacy and safety,
1191,car owner,my car to send an alert to my smartphone if I forget to lock it,I will prevent breakins.,
2874,home occupant,my smart home to let me know if any faucets or toilets are left running,I can conserve water,
803,cook,My kitchen to alert me when I leave an appliance on that shouldn't be,I can keep my home safe.,
1923,home occupant,to be alerted when a window gets damaged,I know to check on it immediately,
2720,home occupant,my shower to automatically adjust the temperature. ,I don't have to change the knob to my desired temperature. ,
691,home owner,to control the temperature of my water heater,I can save energy costs.,
2112,home owner,doors that automatically lock after a certain tim,my home is safer. ,
1873,house keeper,the home to remind me when cleaning supplies are low,I know when to purchase the required supplies ,
845,home owner,a device that can mix cocktails and allows me to choose what i want made,i can entertain better,
86,home occupant,air purity controller,it detects pollution and sensors get active ,
2398,home occupant,My smart home to monitor the temperature in my garage during the winter.,I can make sure I can take stuff from the garage into the house (water bottles) that may freeze if it gets too cold in there.,
2457,home occupant,my smart fridge to connect with my phone to indicate whether I am running low on neccessary food suuplies,I would always be prepared when I go to the grocery store,
2380,bread eater,my toaster to send me a text,i can know when the toast is finished without looking at the toaster,
1387,home owner,receive alerts (via smart phone) when someone comes onto my porch,I can know who is approaching my home when I'm away,
43,home owner,"my smart home to calculate what heat sources would be the best for my home (ductless heat pump, regular furnace, space heaters, or any combination therof)",my home is comfortable and energy-efficient when the weather is cold outside.,
1154,pet owner,an alarm to alert me when my dog's bowl needs cleaning,I don't forget to disinfect it now and then.,
3578,photographer,watch for events to take pictures at the right time,to take the best photographs ,
1344,home occupant,my smart home to automatically dial 911 if forced entry is detected (whether an alarm is activated or not),I can feel safe all the time.,
521,home owner,garage door automation,I know when I left garage door open,
1672,music fan,home that will auto cast music to different rooms when I go from one room to another,I can continue to enjoy my music while I move around my home,
240,parent,to get an alert when there is water spilled over the floor,home occupant is alerted and don't fall off,
1925,parent,alerts if my toddler is where she shouldn't be,I can make sure she is safe,
2105,home owner,to control my solar panel with my smartphone,I can make sure there is enough power for the night,
468,engineer,health cooking,it should manage heating according to temperature,
2004,home owner,my smart home to sense my approach and start cooking my dinner,it will be ready shortly after I arrive home,
550,home occupant,the lights in the house to be adjustable,"so that if I have a party I can set mood lighting, disco balls, or lasers to emit from the lighting features that are already in place in my home at the touch of a button",
1296,home maker,Bluetooth home appliance automation,will control the appliance,
1855,home occupant,a back door that will warn me when someone approaches within 15 feet of my door,I can know if someone is approaching my house ahead of time. ,
1889,house keeper,access to the home without keys,I don't have to hold onto multiple homeowner's keys. I can gain access to a home/certain rooms with just my phone. ,
638,home owner,My smart home to keep me entertained,so that I do not get bored,
2685,home occupant,a shower feature that remembers my favorite temperature and automatically sets the correct temperature,I can take a nice shower,
1587,home occupant,"geyser that automatically adjusts to optimal temperature settings,",I don't need to worry about burning my skin.,
3354,home owner,to know when my carpet needs vacumning,i can limit vacuuming to only the times when absolutely needed,
2945,home owner,to be alerted about me electric usage,I can keep my usage down.,
710,home owner,doors that lock automatically in the evening,I don't ever forget to lock them before bed,
1525,home owner,I want a device that regulates the water flow of faucets and toilets,I can save water,
2318,pet owner,to be notified via smartwatch application by my smarthome when my pet's water container is low,they are scheduled to dim at night or turn off when no one is in the room,
1489,home occupant,an oven that will learn when I am home from work and turn itself on to warm my dinner,I will not have to worry about it aftera long day.,
1874,home owner,automatic butt wiper,i don't have to wipe my ass,
3411,bath lover,my bathtub to prevent faucet from allowing in any more hot water once a certain temperature is hit.,I do not scald myself in hot water when I step into bath.,
1946,cat owner,my smart home to notify me when it has been more than 2 days since the litter has been changed,the litter box stays clean and doesn't get forgotten,
1295,home occupant,my home to monitor clothes and bed sheets from the last time they were laundered,I can make sure my clothes and bed sheets are always clean,
2055,home owner,my tea to brew and be ready for my wakeup,it is ready,
708,home occupant,TV to turn on when i enter the room and to use voice commands to control it,I can easily relax,
1355,home appliance,To sit in dining table and eat food,I want eat with one position and one place.,
2805,pet owner,a smart home that turns the lights to my fish tanks on and off throughout the day,I save energy and have my fish on a proper schedule,
1685,parent,to turn on and off electronics in the house,I can make sure when to conserve energy and make sure everyone goes to sleep on time.,
1928,home occupant,let me know what the temperature is outside,So I can dress for warm or cold.,
2842,mother,doors that lock automatically,my child can not leave the house if I step out of the room.,
1109,home owner,"my smart home to alert the police if someone is trying to break in,",my home and valubles are protected.,
1192,mother,a nightlight that I can turn off with my smartphone after my child is asleep,I don't wake them up and it does not stay on all night.,
1632,home occupant,to keep all my things where it placed previously,it makes room clean,
366,homeowner and worker,my smart home to have coffee working each week day at 6:45 am,I don't have to start it before I take my shower in the morning.,
2998,home occupant,A fridge that can heat different compartments at different temperatures,I can use my fridge for many scenarios,
2309,home occupant,built in bluetooth or wireless speaker in all rooms.,"if I'm moving around, music will follow me from room to room.",
249,home occupant,a doorbell camera let me to see and talk to the visors at front door. ,can save time,
1375,parent,a sound to play when exterior door are opened,I know if my son goes outside,
306,home occupant,my smart home to alert authorities when it detects the presence of carbon monoxide or fire.,they can respond quickly and prevent loss of life or damage to the home.,
2401,home owner,my smart home to use fingerprint technology as a locking mechanism,my family will be safer,
2001,home occupant,my smart home to alert me when inclement weather is expected,I can protect plants and animals,
